Dates,v,s
4/30/1994,2.4,CPI YOY Index
5/31/1994,2.3,CPI YOY Index
6/30/1994,2.5,CPI YOY Index
7/31/1994,2.8,CPI YOY Index
8/31/1994,2.9,CPI YOY Index
9/30/1994,3,CPI YOY Index
10/31/1994,2.6,CPI YOY Index
11/30/1994,2.7,CPI YOY Index
12/31/1994,2.7,CPI YOY Index
1/31/1995,2.8,CPI YOY Index
2/28/1995,2.9,CPI YOY Index
3/31/1995,2.9,CPI YOY Index
4/30/1995,3.1,CPI YOY Index
5/31/1995,3.2,CPI YOY Index
6/30/1995,3,CPI YOY Index
7/31/1995,2.8,CPI YOY Index
8/31/1995,2.6,CPI YOY Index
9/30/1995,2.5,CPI YOY Index
10/31/1995,2.8,CPI YOY Index
11/30/1995,2.6,CPI YOY Index
12/31/1995,2.5,CPI YOY Index
1/31/1996,2.7,CPI YOY Index
2/29/1996,2.7,CPI YOY Index
3/31/1996,2.8,CPI YOY Index
4/30/1996,2.9,CPI YOY Index
5/31/1996,2.9,CPI YOY Index
6/30/1996,2.8,CPI YOY Index
7/31/1996,3,CPI YOY Index
8/31/1996,2.9,CPI YOY Index
9/30/1996,3,CPI YOY Index
10/31/1996,3,CPI YOY Index
11/30/1996,3.3,CPI YOY Index
12/31/1996,3.3,CPI YOY Index
1/31/1997,3,CPI YOY Index
2/28/1997,3,CPI YOY Index
3/31/1997,2.8,CPI YOY Index
4/30/1997,2.5,CPI YOY Index
5/31/1997,2.2,CPI YOY Index
6/30/1997,2.3,CPI YOY Index
7/31/1997,2.2,CPI YOY Index
8/31/1997,2.2,CPI YOY Index
9/30/1997,2.2,CPI YOY Index
10/31/1997,2.1,CPI YOY Index
11/30/1997,1.8,CPI YOY Index
12/31/1997,1.7,CPI YOY Index
1/31/1998,1.6,CPI YOY Index
2/28/1998,1.4,CPI YOY Index
3/31/1998,1.4,CPI YOY Index
4/30/1998,1.4,CPI YOY Index
5/31/1998,1.7,CPI YOY Index
